Starting Error Log for today 18/08/24 02:02:33
New() >> Init done - 18/08/24 02:02:33
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: E20030328208010419504993; tagTime: 8/19/2024 2:16:43 PM - 19/08/24 02:16:43
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/08/24 12:19:34
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000548; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/08/24 12:19:34
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/08/24 12:19:46
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000348; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/08/24 12:19:46
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000710; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/08/24 12:19:46
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000548; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/08/24 12:19:46
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/08/24 09:40:29
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000976; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/08/24 09:40:31
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/08/24 09:56:46
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/08/24 04:49:23
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/08/24 04:59:12
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000348; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/08/24 04:59:12
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000730; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/08/24 04:59:12
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000548; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/08/24 04:59:12
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/08/24 05:00:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000730; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/08/24 05:00:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000710; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/08/24 05:00:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000548; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 28/08/24 05:00:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: 30396062C39738815B95AB91; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 02/09/24 02:21:38
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: 30396062C3875FC0001C95A3; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 02/09/24 02:21:38
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: 30396062C3966200002EF334; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 02/09/24 02:21:38
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: F02011050000000000000973; pReader: EED389; pIPADDR: 10.28.92.50; SP: SP_FILM_UPDATE_TRAN - 15/09/24 09:40:54
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000222; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 25/09/24 02:38:48
