Starting Error Log for today 12/11/24 12:16:42
New() >> Init done - 12/11/24 12:16:42
New() >> Init done - 12/11/24 12:16:53
New() >> Init done - 12/11/24 12:17:33
New() >> Init done - 12/11/24 01:43:06
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 1; RFID: B32306040000000000000037; tagTime: 11/20/2024 9:48:04 AM - 20/11/24 09:48:04
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 20/11/24 10:03:51
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 20/11/24 10:03:52
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001195; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 20/11/24 10:03:52
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 20/11/24 10:03:52
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32006010000000000000296; tagTime: 11/20/2024 2:32:49 PM - 20/11/24 02:32:49
myUpdateRead() >> Emailing >> hostName: 10.28.92.50; location: Tower Zone; antennaID: 2; RFID: B32006010000000000000296; tagTime: 11/20/2024 2:52:52 PM - 20/11/24 02:52:52
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 20/11/24 03:55:21
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 20/11/24 03:55:21
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000979; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 20/11/24 03:55:21
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000977; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 20/11/24 03:55:55
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 20/11/24 03:55:55
