Starting Error Log for today 05/07/24 03:57:03
New() >> Init done - 05/07/24 03:57:03
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 16/07/24 10:28:41
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001131; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 16/07/24 10:28:50
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 20/07/24 09:25:13
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 20/07/24 09:25:14
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/07/24 09:37:39
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/07/24 12:30:12
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/07/24 04:09:15
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000439; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/07/24 04:09:35
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000773; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/07/24 04:09:35
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000548; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/07/24 04:09:36
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/07/24 04:56:36
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000439; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/07/24 04:56:39
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001071; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/07/24 04:56:39
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000548; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/07/24 04:56:40
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 22/07/24 05:02:35
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000843; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 09:57:15
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 09:57:29
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000007CA7; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 09:57:30
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 09:57:41
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 09:57:57
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000844; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 09:57:57
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 09:58:11
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000842; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 09:58:21
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: E280689400005023D09830AE; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 23/07/24 09:58:22
