Starting Error Log for today 02/12/25 12:00:04
New() >> Init done - 02/12/25 12:00:04
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 09:49:09
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000402; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 09:49:20
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 09:49:20
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 09:49:20
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 09:49:31
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000777; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 09:50:23
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 09:50:23
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000867; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 09:52:33
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000402; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 09:52:33
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 09:52:33
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000867; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 10:00:26
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000402; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 10:00:26
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 10:00:27
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000439; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 10:22:03
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000102; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 10:22:03
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001103; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 10:22:03
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001122; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 10:22:03
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000519; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 08/01/26 10:22:03
