Starting Error Log for today 12/01/26 11:45:02
New() >> Init done - 12/01/26 11:45:02
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000299; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:09:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000106; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:09:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000730; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:09:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001000; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:09:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000105; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:09:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32068940000000097320643; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:09:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000613; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:09:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001103; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:09:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001122; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:09:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000108; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:09:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000811; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:09:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000214; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:09:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000299; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:10:16
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000106; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:10:17
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:10:17
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000001000; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:10:18
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000105; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:10:18
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32068940000000097320643; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:10:18
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000001103; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:10:18
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000001122; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:10:18
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000613; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:10:18
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000108; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:10:18
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000811; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:10:18
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000214; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 04:10:18
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000299; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 05:46:06
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 05:46:07
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001000; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 05:46:07
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32068940000000097320643; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 05:46:07
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001103; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 05:46:07
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001122; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 05:46:07
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000613; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 05:46:07
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000108; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 05:46:07
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000811; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 05:46:07
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000214; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 05:46:07
