Starting Error Log for today 29/05/25 12:00:02
New() >> Init done - 29/05/25 12:00:02
New() >> Init done - 29/05/25 05:30:02
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000547; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 15/06/25 09:58:48
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 15/06/25 09:58:48
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000784; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 15/06/25 09:58:48
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000834; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 15/06/25 09:58:48
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000439; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 15/06/25 09:58:48
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000519; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 15/06/25 09:58:48
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000713; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 15/06/25 09:58:48
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000811; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 15/06/25 09:58:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000106; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 15/06/25 09:58:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000914; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 15/06/25 09:58:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000428; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 15/06/25 09:58:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000642; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 15/06/25 09:58:49
