Starting Error Log for today 10/12/24 08:47:06
New() >> Init done - 10/12/24 08:47:06
New() >> Init done - 10/12/24 08:47:14
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000400700000442; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 17/12/24 04:15:52
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000548; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 17/12/24 04:15:52
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001173; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 17/12/24 04:32:25
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000978; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 17/12/24 04:32:25
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001166; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 17/12/24 04:32:25
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 17/12/24 04:32:25
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000400700000442; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 17/12/24 04:32:25
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 17/12/24 04:32:25
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000246; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:04:25
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000428; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:04:26
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000371; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:04:26
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000548; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:04:26
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001166; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:04:26
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000400700000442; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:04:26
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000978; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 26/12/24 05:04:27
