Starting Error Log for today 02/02/26 12:45:03
New() >> Init done - 02/02/26 12:45:03
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000811; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 06/02/26 11:14:11
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000108; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 06/02/26 11:14:11
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 27/02/26 11:42:13
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 27/02/26 03:16:42
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000867; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 27/02/26 04:09:12
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 27/02/26 04:09:13
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000001164; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 27/02/26 04:09:13
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000209; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 02/03/26 10:51:48
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 02/03/26 10:51:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000867; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 02/03/26 10:52:10
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 02/03/26 10:52:10
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001009; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 02/03/26 10:52:47
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000867; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 02/03/26 10:52:47
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000412; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 02/03/26 10:52:47
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001164; pReader: FCDCF2; pIPADDR: 10.28.92.52; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 02/03/26 10:52:47
